,name,author,link,rating,rating_count,review_count,price,pages,pages_count,text_of_reviews,age,year
13,Объектно-ориентированный Python (+ epub),Дасти Филлипс,https://www.litres.ru/book/dasti-fillips/obektno-orientirovannyy-python-epub-70504741/,0.0,0,0,699.00,704 стр. ,704,[],16+,2021
14,Модели параллельного программирования,И. Е. Федотов,https://www.litres.ru/book/ilya-fedotov/modeli-parallelnogo-programmirovaniya-8341507/,0.0,0,0,450.00,385 стр. ,385,[],0+,2012
15,Грокаем машинное обучение (pdf + epub),Луис Серрано,https://www.litres.ru/book/luis-serrano-32912851/grokaem-mashinnoe-obuchenie-pdf-epub-70290604/,4.4,3,3,699.00,512 стр. ,512,"['Есть полезная информация, но многовато воды, часто излишне одно по одному. Я считаю количество страниц можно было вдвое сократить.', 'Книга охватывает довольно много алгоритмов машинного обучения, изложение очень доступное, какие-то вещи автор подаёт действительно очень просто и понятно. В целом, не пожалел что прочёл', 'Полезное издание, понятные термины и объяснения. Конечно цена высокая, но для деловой литературы это нормально. Советую к приобретению если тема машинного обучения актуальна для изучения']",16+,2021
16,Web-представительство регионального музея,Р. А. Барышев,https://www.litres.ru/book/a-s-genvald/web-predstavitelstvo-regionalnogo-muzeya-5000519/,0.0,0,0,96.00,8 стр. ,8,[],0+,2010
17,Использование оценки приближенности к узлам Wi-Fi-сети для доставки гиперлокального контента,Д. Е. Намиот,https://www.litres.ru/book/d-e-namiot/ispolzovanie-ocenki-priblizhennosti-k-uzlam-wi-fi-seti-dlya-dos-4970925/,0.0,0,0,96.00,8 стр. ,8,[],0+,2012
18,Программирование в среде ЛОГО. Первые шаги,Г. В. Белова,https://www.litres.ru/book/galina-belova/programmirovanie-v-srede-logo-pervye-shagi-8337549/,0.0,0,0,250.00,127 стр. ,127,[],0+,2010
19,Организация системы прав доступа и ее управления в проекте BlockSet,П. П. Кейно,https://www.litres.ru/book/a-u-novikov/organizaciya-sistemy-prav-dostupa-i-ee-upravleniya-v-proekte-b-43092527/,0.0,0,0,168.00,8 стр. ,8,[],0+,2019
20,Новая большая книга CSS,Дэвид Сойер Макфарланд,https://www.litres.ru/book/devid-soyer-makfarland/novaya-bolshaya-kniga-css-7065956/,4.4,27,3,550.00,720 стр. ,720,"['Это мой бестселлер!!! ', 'Хоть и называется CSS3 – автор обучает и HTML5. Я человек привыкший работать с дизайном, сразу вижу свой результат во время проектирования и из-за этого многие книги мне были скучными. Эта книга меня порадовала тем, что свой результат ты видишь сразу. Очень все просто объясняется. Подойдет как для начинающих так и для тех кто знаком с HTML5 и CSS3 потому что в книги много примеров.', 'По практической ценности материал излагаемый на страницах этой книги равноценен для меня Библий для прогеров называемое в народе', '""книга с носорогом"".', '', 'Материал объясняется доступным человеческим языком на практических задачах применимых в реальной жизни, а не только в рамках данной книги.', '', 'Фактически показано на пальцах, что и как делается к чему это приводит. Каким способом решить ту или иную задачу в процессе написания и оптимизации кода.', 'Изучать веб разработку и в особенности CSS советую по этой книге,автор также учит HTML 5.Прочитав эту книгу вы поймете многие аспекты верстки,и будете уметь верстать качественно, адаптивно и кроссбраузерно.Советую всем веб разработчикам!!!!!']",16+,2015
21,Web-сервисы Java,Тимур Машнин,https://www.litres.ru/book/timur-mashnin-30184546/web-servisy-java-5326679/,4.5,10,1,319.00,792 стр. ,792,"['В одной книге собрана практически вся нужная документация по теме. Книга конечно не для легкого чтения, на оказалась крайне полезной для практической работы.']",0+,2011
22,Грокаем функциональное мышление,Эрик Норманд,https://www.litres.ru/book/erik-normand/grokaem-funkcionalnoe-myshlenie-69434473/,5.0,1,1,799.00,608 стр. ,608,"['Книга предназначена для тех, кто хочет изучить основы функционального программирования и понять, как оно может помочь им в решении задач. Написана достаточно легко, содержит много полезной информации.']",16+,2021
